condition12.thisRepN,condition12.thisTrialN,condition12.thisN,condition12.thisIndex,condition11.thisRepN,condition11.thisTrialN,condition11.thisN,condition11.thisIndex,condition10.thisRepN,condition10.thisTrialN,condition10.thisN,condition10.thisIndex,condition9.thisRepN,condition9.thisTrialN,condition9.thisN,condition9.thisIndex,condition8.thisRepN,condition8.thisTrialN,condition8.thisN,condition8.thisIndex,condition7.thisRepN,condition7.thisTrialN,condition7.thisN,condition7.thisIndex,condition6.thisRepN,condition6.thisTrialN,condition6.thisN,condition6.thisIndex,condition5.thisRepN,condition5.thisTrialN,condition5.thisN,condition5.thisIndex,condition4.thisRepN,condition4.thisTrialN,condition4.thisN,condition4.thisIndex,condition3.thisRepN,condition3.thisTrialN,condition3.thisN,condition3.thisIndex,condition2.thisRepN,condition2.thisTrialN,condition2.thisN,condition2.thisIndex,condition1.thisRepN,condition1.thisTrialN,condition1.thisN,condition1.thisIndex,thisRow.t,notes,InsFrame.started,key_resp.started,InsFrame.stopped,key_resp.keys,key_resp.rt,key_resp.duration,prepare.started,condition,key_resp_6.started,ins_1back.started,pic_01png_2.started,prepare.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Stim.started,ans,image_bac.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,feedback.started,image_bac_2.started,msg_response.started,fixation_img.started,feedback.stopped,image_bac_2.stopped,msg_response.stopped,fixation_img.stopped,ins_2back.started,pic_02png_2.started,thanks.started,text_3.started,key_resp_3.started,thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,年级,班级,性别,date,expName,psychopyVersion,frameRate,expStart,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.06431385400083,,,,,,,,,,,,,,,,,45.04587183900003,j,45.06431385400083,45.84784693800066,j,1,0.7921081080003205,None,45.84882713600018,45.86453310500019,45.86453310500019,45.86453310500019,46.36155510900062,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.37976496800002,,,,,,,,,,,,,,,,,46.36199634100012,j,46.37976496800002,46.948393057999965,j,1,0.575312287000088,None,46.94903547500053,46.9654706070005,46.9654706070005,46.9654706070005,47.461506815000575,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47972619900065,,,,,,,,,,,,,,,,,47.461929905000034,j,47.47972619900065,48.09736460000022,j,1,0.628458129000137,None,48.098052801999984,48.12759033100065,48.12759033100065,48.12759033100065,48.61139360700054,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.629332587000135,,,,,,,,,,,,,,,,,48.6118099360001,j,48.629332587000135,49.19720804500048,j,1,0.5696921119997569,None,49.197836499000005,49.214482933,49.214482933,49.214482933,49.71196434000012,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.731182964000254,,,,,,,,,,,,,,,,,49.71239010000045,j,49.731182964000254,50.297207536000315,j,1,0.564957675000187,None,50.29783287800001,50.31274742900041,50.31274742900041,50.31274742900041,50.796077823000815,50.813825981000264,50.813825981000264,50.813825981000264,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.813825981000264,,,,,,,,,,,,,,,,,50.79648444200029,j,50.813825981000264,51.57948747200044,j,1,0.7641177140003492,None,51.58014620800077,51.59692036300021,51.59692036300021,51.59692036300021,52.09545958900071,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.11354341400056,,,,,,,,,,,,,,,,,52.09589205900011,f,52.11354341400056,52.79647352500069,f,1,0.6822450910003681,None,52.79713168200033,52.815262183000414,52.815262183000414,52.815262183000414,53.31122821400004,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.32869265000045,,,,,,,,,,,,,,,,,53.31164763200013,j,53.32869265000045,53.91298175300017,j,1,0.586609979000059,None,53.91361337200033,53.92919983700085,53.92919983700085,53.92919983700085,54.412278968000464,54.4314044190005,54.4314044190005,54.4314044190005,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4314044190005,,,,,,,,,,,,,,,,,54.4126809950003,j,54.4314044190005,54.99711759300044,j,1,0.577725879999889,None,54.997775936000835,55.013234963000286,55.013234963000286,55.013234963000286,55.49645513800078,55.51509182800055,55.51509182800055,55.51509182800055,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.51509182800055,,,,,,,,,,,,,,,,,55.496890615000666,j,55.51509182800055,56.04595653200067,j,1,0.5331993130002957,None,56.04659073000039,56.06231086700063,56.06231086700063,56.06231086700063,56.54561401000046,56.56370326600063,56.56370326600063,56.56370326600063,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56370326600063,,,,,,,,,,,,,,,,,56.546053744000346,j,56.56370326600063,57.14638043600007,j,1,0.5780331319992911,None,57.1470018480004,57.162031698000646,57.162031698000646,57.162031698000646,57.64594932300042,57.663640060000034,57.663640060000034,57.663640060000034,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.663640060000034,,,,,,,,,,,,,,,,,57.646362170999964,j,57.663640060000034,58.212513984,j,1,0.5512769429997206,None,58.213160772000265,58.229329508000774,58.229329508000774,58.229329508000774,58.72831337900061,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.74663674200019,,,,,,,,,,,,,,,,,58.72878660300012,f,58.74663674200019,59.23196230600024,f,1,0.49179390799963585,None,59.23257499900046,59.24761496800056,59.24761496800056,59.24761496800056,59.7449750400001,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.763004577000174,,,,,,,,,,,,,,,,,59.745415232000596,j,59.763004577000174,60.23651696500019,j,1,0.46441012699960993,None,60.237268384000345,60.251253653000276,60.251253653000276,60.251253653000276,60.74550191700018,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.76354628700028,,,,,,,,,,,,,,,,,60.745954098000766,j,60.76354628700028,61.29594043200086,j,1,0.5333477239992135,None,61.29660121699999,61.31274420000045,61.31274420000045,61.31274420000045,61.796117916000185,61.814873078000346,61.814873078000346,61.814873078000346,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.814873078000346,,,,,,,,,,,,,,,,,61.796522809000635,f,61.814873078000346,62.395690774000286,f,1,0.5769937129998652,None,62.396321347000594,62.41101910500038,62.41101910500038,62.41101910500038,62.896037206000074,62.91330855800061,62.91330855800061,62.91330855800061,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.91330855800061,,,,,,,,,,,,,,,,,62.89644802000021,j,62.91330855800061,63.39960481700018,j,1,0.4791848750001009,None,63.40023482200013,63.4132756150002,63.4132756150002,63.4132756150002,63.91144479000013,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.93048290700062,,,,,,,,,,,,,,,,,63.91188193900052,j,63.93048290700062,64.38251684400075,j,1,0.45918169600008696,None,64.38314030000038,64.39923423800064,64.39923423800064,64.39923423800064,64.89452144300049,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.92696360300033,,,,,,,,,,,,,,,,,64.8949409300003,j,64.92696360300033,65.44734561100086,j,1,0.544987709000452,None,65.44798939900011,65.46344100500028,65.46344100500028,65.46344100500028,65.96104852999997,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9790824870006,,,,,,,,,,,,,,,,,65.96147073700013,j,65.9790824870006,66.46497229700071,j,1,0.49191700399933325,None,66.46559599800003,66.49381568300032,66.49381568300032,66.49381568300032,66.97833285700017,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.99791128800007,,,,,,,,,,,,,,,,,66.97877430400058,j,66.99791128800007,67.49866651800039,j,1,0.5119129379991136,None,67.49977280000076,67.51546221200078,67.51546221200078,67.51546221200078,68.0117749810006,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.03101034200063,,,,,,,,,,,,,,,,,68.01227754299998,j,68.03101034200063,68.54569605100005,j,1,0.5191435679998904,None,68.54632476500046,68.56201209500068,68.56201209500068,68.56201209500068,69.04547035200085,69.06350992300031,69.06350992300031,69.06350992300031,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.06350992300031,,,,,,,,,,,,,,,,,69.04588499800047,f,69.06350992300031,69.6135852970001,f,1,0.5471943580005245,None,69.61422001900064,69.62892678900062,69.62892678900062,69.62892678900062,70.11210854000001,70.13083579600061,70.13083579600061,70.13083579600061,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13083579600061,,,,,,,,,,,,,,,,,70.1125281200002,j,70.13083579600061,70.68194596900048,j,1,0.5537600859997838,None,70.68268416000046,70.69965775200035,70.69965775200035,70.69965775200035,71.1944651570002,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.21283727500031,,,,,,,,,,,,,,,,,71.19488483000077,f,71.21283727500031,71.78055265200055,f,1,0.577279322999857,None,71.78133800200067,71.79738510900006,71.79738510900006,71.79738510900006,72.29486676500073,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.29493431300034,"{'i=': 10, 'n=': 1, 'len=': 18, 'fix=': 1}",72.31084318900048,72.31084318900048,72.31084318900048,73.23030060200017,space,0.91404574399985,None,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25674399400032,,,,,,,,,,,,,,,,,73.232610131,j,73.25674399400032,74.02996720300052,j,1,0.7874390349998066,None,74.03092292900055,74.04515847700077,74.04515847700077,74.04515847700077,74.52860587000032,74.54775229799998,74.54775229799998,74.54775229799998,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54775229799998,,,,,,,,,,,,,,,,,74.52905934700084,j,74.54775229799998,75.37983160600015,j,1,0.8289546310006699,None,75.38077580800018,75.39476147000005,75.39476147000005,75.39476147000005,75.87854631900063,75.89858390500012,75.89858390500012,75.89858390500012,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.89858390500012,,,,,,,,,,,,,,,,,75.87899099900005,f,75.89858390500012,76.66259030400033,j,0,0.7669668770004137,None,76.66332330800014,76.67992813000001,76.67992813000001,76.67992813000001,77.17854846200044,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.19774574000076,,,,,,,,,,,,,,,,,77.17900524000015,j,77.19774574000076,77.91289039700041,j,1,0.7228055649993621,None,77.9136108800003,77.93066962400007,77.93066962400007,77.93066962400007,78.42813099500017,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.44668704200012,,,,,,,,,,,,,,,,,78.42860723400008,f,78.44668704200012,79.16412916900026,f,1,0.7278019309997035,None,79.1648854670002,79.18033884300075,79.18033884300075,79.18033884300075,79.67867089600077,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.69818579599996,,,,,,,,,,,,,,,,,79.67914904500049,j,79.69818579599996,80.26444633600022,j,1,0.5758762870000282,None,80.26528758900076,80.29386937300023,80.29386937300023,80.29386937300023,80.7784893400003,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.79677018800066,,,,,,,,,,,,,,,,,80.77894131100038,j,80.79677018800066,81.36241139499998,j,1,0.5692035439997198,None,81.36313567100024,81.37866176900025,81.37866176900025,81.37866176900025,81.86175707300026,81.88056832200073,81.88056832200073,81.88056832200073,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88056832200073,,,,,,,,,,,,,,,,,81.86220557300021,j,81.88056832200073,82.51238082100008,j,1,0.6277364689995011,None,82.51327003300048,82.52734387400051,82.52734387400051,82.52734387400051,83.01318323800024,83.03287898100007,83.03287898100007,83.03287898100007,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.03287898100007,,,,,,,,,,,,,,,,,83.01370609100013,f,83.03287898100007,83.69554302200049,f,1,0.6600071100001514,None,83.69625338700007,83.71078264600055,83.71078264600055,83.71078264600055,84.19502519800062,84.21276794900041,84.21276794900041,84.21276794900041,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.21276794900041,,,,,,,,,,,,,,,,,84.19547557200076,j,84.21276794900041,84.81217625000045,j,1,0.6037818009999683,None,84.81289771400043,84.82830056300008,84.82830056300008,84.82830056300008,85.31223544100067,85.33053387700056,85.33053387700056,85.33053387700056,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.33053387700056,,,,,,,,,,,,,,,,,85.3126931680008,j,85.33053387700056,86.04602998700011,j,1,0.7226860900000247,None,86.04674443800013,86.06245331000082,86.06245331000082,86.06245331000082,86.56078116000026,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.57955393500015,,,,,,,,,,,,,,,,,86.56125687800068,j,86.57955393500015,87.16238370300016,j,1,0.5842609279998214,None,87.16310815200086,87.17819381800018,87.17819381800018,87.17819381800018,87.66263306400015,87.68182121400059,87.68182121400059,87.68182121400059,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.68182121400059,,,,,,,,,,,,,,,,,87.663123628,j,87.68182121400059,88.18152418700083,j,1,0.5027929770003539,None,88.18233683900053,88.19840745000056,88.19840745000056,88.19840745000056,88.69496213800085,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.71430102200065,,,,,,,,,,,,,,,,,88.69542563600044,j,88.71430102200065,89.22902414300006,j,1,0.5114440540000942,None,89.229734173,89.24409872900014,89.24409872900014,89.24409872900014,89.72905424400051,89.74769844399998,89.74769844399998,89.74769844399998,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.74769844399998,,,,,,,,,,,,,,,,,89.72949961100039,f,89.74769844399998,90.3459186150003,f,1,0.6027949409999565,None,90.34666495400052,90.36243334400024,90.36243334400024,90.36243334400024,90.86122289700052,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.8802588260005,,,,,,,,,,,,,,,,,90.86168407200057,j,90.8802588260005,91.31388618900019,j,1,0.4448506200005795,None,91.31472256300003,91.33010851800009,91.33010851800009,91.33010851800009,91.82739490400036,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.84677846900013,,,,,,,,,,,,,,,,,91.82784477200039,j,91.84677846900013,92.34542998300003,j,1,0.5018311409994567,None,92.34614070900079,92.36173677000079,92.36173677000079,92.36173677000079,92.84501958100009,92.86352918300054,92.86352918300054,92.86352918300054,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86352918300054,,,,,,,,,,,,,,,,,92.84548220100078,j,92.86352918300054,93.41208530200038,j,1,0.5445016720004787,None,93.41280301200004,93.4273172510002,93.4273172510002,93.4273172510002,93.91204523700071,93.9296329430008,93.9296329430008,93.9296329430008,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9296329430008,,,,,,,,,,,,,,,,,93.91250222500003,f,93.9296329430008,94.74592342000051,f,1,0.8248928410002918,None,94.74665507300051,94.76328841200029,94.76328841200029,94.76328841200029,95.26113099100075,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.27917134100062,,,,,,,,,,,,,,,,,95.26161404600043,j,95.27917134100062,95.79548840300049,j,1,0.5158243719997699,None,95.79619571100011,95.81193797700053,95.81193797700053,95.81193797700053,96.3110892300001,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.32933419800065,,,,,,,,,,,,,,,,,96.31157229100063,f,96.32933419800065,97.07889605700075,f,1,0.747841962000166,None,97.07964278300005,97.09495536800023,97.09495536800023,97.09495536800023,97.57875586500086,97.59767508500045,97.59767508500045,97.59767508500045,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.59767508500045,,,,,,,,,,,,,,,,,97.57921402500051,j,97.59767508500045,98.17923029700069,j,1,0.5842494389999047,None,98.17995233400052,98.19475555700046,98.19475555700046,98.19475555700046,98.67841657700046,98.69738356200014,98.69738356200014,98.69738356200014,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69738356200014,,,,,,,,,,,,,,,,,98.67888589300037,j,98.69738356200014,99.36241341100049,j,1,0.666638029000751,None,99.36315553400073,99.3784780370006,99.3784780370006,99.3784780370006,99.86168965300021,99.88041554500069,99.88041554500069,99.88041554500069,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.88041554500069,,,,,,,,,,,,,,,,,99.86215093900046,f,99.88041554500069,100.44701796900063,f,1,0.5709220509997976,None,100.44782124300036,100.46172081700024,100.46172081700024,100.46172081700024,100.94488424600058,100.96538093900017,100.96538093900017,100.96538093900017,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.96538093900017,,,,,,,,,,,,,,,,,100.94535730700045,j,100.96538093900017,101.5117838340002,j,1,0.543287474999488,None,101.51249937800003,101.52715409700068,101.52715409700068,101.52715409700068,102.0116585350006,102.03027688900056,102.03027688900056,102.03027688900056,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.03027688900056,,,,,,,,,,,,,,,,,102.01212742799999,f,102.03027688900056,102.64568890900046,f,1,0.6136828400003651,None,102.64641064300031,102.66179549800017,102.66179549800017,102.66179549800017,103.16107028500028,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.18037942400042,,,,,,,,,,,,,,,,,103.16154710400042,j,103.18037942400042,103.97877190500003,j,1,0.8021837299993422,None,103.97948760000054,103.99552525000036,103.99552525000036,103.99552525000036,104.49438356200062,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.51347119800084,,,,,,,,,,,,,,,,,104.49486594700011,j,104.51347119800084,105.36286998300056,j,1,0.8608635299997331,None,105.36362929400002,105.37907039500078,105.37907039500078,105.37907039500078,105.86248654000065,105.88057974800086,105.88057974800086,105.88057974800086,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
