condition12.thisRepN,condition12.thisTrialN,condition12.thisN,condition12.thisIndex,condition11.thisRepN,condition11.thisTrialN,condition11.thisN,condition11.thisIndex,condition10.thisRepN,condition10.thisTrialN,condition10.thisN,condition10.thisIndex,condition9.thisRepN,condition9.thisTrialN,condition9.thisN,condition9.thisIndex,condition8.thisRepN,condition8.thisTrialN,condition8.thisN,condition8.thisIndex,condition7.thisRepN,condition7.thisTrialN,condition7.thisN,condition7.thisIndex,condition6.thisRepN,condition6.thisTrialN,condition6.thisN,condition6.thisIndex,condition5.thisRepN,condition5.thisTrialN,condition5.thisN,condition5.thisIndex,condition4.thisRepN,condition4.thisTrialN,condition4.thisN,condition4.thisIndex,condition3.thisRepN,condition3.thisTrialN,condition3.thisN,condition3.thisIndex,condition2.thisRepN,condition2.thisTrialN,condition2.thisN,condition2.thisIndex,condition1.thisRepN,condition1.thisTrialN,condition1.thisN,condition1.thisIndex,thisRow.t,notes,InsFrame.started,key_resp.started,InsFrame.stopped,key_resp.keys,key_resp.rt,key_resp.duration,prepare.started,condition,key_resp_6.started,ins_1back.started,pic_01png_2.started,prepare.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Stim.started,ans,image_bac.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,feedback.started,image_bac_2.started,msg_response.started,fixation_img.started,feedback.stopped,image_bac_2.stopped,msg_response.stopped,fixation_img.stopped,ins_2back.started,pic_02png_2.started,thanks.started,text_3.started,key_resp_3.started,thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,年级,班级,性别,date,expName,psychopyVersion,frameRate,expStart,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.481292165000013,,,,,,,,,,,,,,,,,12.462773916000515,f,12.481292165000013,13.08116985200013,f,1,0.5965643770005045,None,13.082229261000066,13.098326958000143,13.098326958000143,13.098326958000143,13.595448844000202,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.616137031000108,,,,,,,,,,,,,,,,,13.595936076000726,j,13.616137031000108,14.264035830000466,j,1,0.6544553120002092,None,14.264654966000307,14.27884285500022,14.27884285500022,14.27884285500022,14.76249452400043,14.781381957000121,14.781381957000121,14.781381957000121,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.781381957000121,,,,,,,,,,,,,,,,,14.762900367000839,j,14.781381957000121,15.265290629999981,j,1,0.4844924130002255,None,15.265902484000435,15.279656758000783,15.279656758000783,15.279656758000783,15.764313978000246,15.78489940899999,15.78489940899999,15.78489940899999,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.78489940899999,,,,,,,,,,,,,,,,,15.764798822000557,j,15.78489940899999,16.198797322000246,j,1,0.42354577999958565,None,16.19941730500068,16.21336526400046,16.21336526400046,16.21336526400046,16.71213525300027,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.730084495000483,,,,,,,,,,,,,,,,,16.712541588000022,j,16.730084495000483,17.26374211500024,j,1,0.5304122400002598,None,17.264360299000145,17.279281071000696,17.279281071000696,17.279281071000696,17.763405156000772,17.782813959000123,17.782813959000123,17.782813959000123,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.782813959000123,,,,,,,,,,,,,,,,,17.76388968200081,j,17.782813959000123,18.281970956000805,j,1,0.5105137000000468,None,18.28258117600035,18.296598466999967,18.296598466999967,18.296598466999967,18.780478265000056,18.802433652000218,18.802433652000218,18.802433652000218,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.802433652000218,,,,,,,,,,,,,,,,,18.78088967000076,j,18.802433652000218,19.249520747000133,j,1,0.44876483799998823,None,19.250160919000336,19.263887044000512,19.263887044000512,19.263887044000512,19.762532144000033,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.781406377000167,,,,,,,,,,,,,,,,,19.762972193000678,f,19.781406377000167,20.248844842000835,j,0,0.4702836779997597,None,20.24948267900072,20.26977678900039,20.26977678900039,20.26977678900039,20.76244228900032,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.780750169000385,,,,,,,,,,,,,,,,,20.762855088000833,j,20.780750169000385,21.28223909100052,j,1,0.5047073609994186,None,21.282858506000593,21.299317677000545,21.299317677000545,21.299317677000545,21.796080692000032,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.815902156999982,,,,,,,,,,,,,,,,,21.79651755500072,j,21.815902156999982,22.347140055000636,j,1,0.5394486739996864,None,22.3477715730005,22.36317868400056,22.36317868400056,22.36317868400056,22.861835938000695,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
